condition,mode,seed,step,IFN_gamma,PD_L1,TGF_beta
anti_PD1_early,deepseek,42,18,0.159432,0.004337,0.288236
anti_PD1_early,deepseek,42,19,0.150742,0.002615,0.291223
anti_PD1_early,deepseek,42,20,0.241676,0.019961,0.353997
anti_PD1_early,deepseek,42,21,0.24269,0.009562,0.348694
anti_PD1_early,deepseek,42,22,0.229578,0.004727,0.344566
anti_PD1_early,deepseek,42,23,0.216952,0.002432,0.341217
anti_PD1_early,deepseek,42,24,0.205019,0.001311,0.338287
anti_PD1_early,deepseek,42,25,0.259268,0.027246,0.390341
anti_PD1_early,deepseek,42,26,0.258396,0.012664,0.380375
anti_PD1_early,deepseek,42,27,0.244184,0.005921,0.370606
anti_PD1_early,deepseek,42,28,0.230754,0.002791,0.362518
anti_PD1_early,deepseek,42,29,0.218063,0.001317,0.353278
anti_PD1_early,deepseek,42,30,0.283219,0.019619,0.402576
anti_PD1_early,deepseek,456,1,0.0,0.002447,0.005496
anti_PD1_early,deepseek,456,2,0.0,0.004528,0.010553
anti_PD1_early,deepseek,456,3,0.0,0.006307,0.015205
anti_PD1_early,deepseek,456,4,0.0,0.007834,0.019485
anti_PD1_early,deepseek,456,5,0.0175,0.066805,0.067923
anti_PD1_early,deepseek,456,6,0.018506,0.032658,0.06881
anti_PD1_early,deepseek,456,7,0.017488,0.016884,0.071352
anti_PD1_early,deepseek,456,8,0.016527,0.009592,0.077815
anti_PD1_early,deepseek,456,9,0.015618,0.006115,0.088711
anti_PD1_early,deepseek,456,10,0.120009,0.07659,0.159861
anti_PD1_early,deepseek,456,11,0.125352,0.03693,0.170568
anti_PD1_early,deepseek,456,12,0.119298,0.018563,0.180754
anti_PD1_early,deepseek,456,13,0.113445,0.010006,0.19111
anti_PD1_early,deepseek,456,14,0.107914,0.005984,0.201546
anti_PD1_early,deepseek,456,15,0.206645,0.039752,0.275171
anti_PD1_early,deepseek,456,16,0.208667,0.019419,0.278259
anti_PD1_early,deepseek,456,17,0.197269,0.009935,0.281275
anti_PD1_early,deepseek,456,18,0.188467,0.005445,0.28375
anti_PD1_early,deepseek,456,19,0.178233,0.003282,0.286177
anti_PD1_early,deepseek,456,20,0.257998,0.027708,0.348685
anti_PD1_early,deepseek,456,21,0.25654,0.013333,0.344786
anti_PD1_early,deepseek,456,22,0.242981,0.006627,0.341475
anti_PD1_early,deepseek,456,23,0.231665,0.003432,0.337978
anti_PD1_early,deepseek,456,24,0.222021,0.001863,0.334161
anti_PD1_early,deepseek,456,25,0.282203,0.027837,0.390775
anti_PD1_early,deepseek,456,26,0.27692,0.013042,0.381265
anti_PD1_early,deepseek,456,27,0.262424,0.006165,0.372392
anti_PD1_early,deepseek,456,28,0.251272,0.002933,0.363103
anti_PD1_early,deepseek,456,29,0.237583,0.001409,0.354332
anti_PD1_early,deepseek,456,30,0.303323,0.016436,0.404988
anti_PD1_early,rules,123,1,0.0,0.002509,0.005554
anti_PD1_early,rules,123,2,0.0,0.004649,0.010664
anti_PD1_early,rules,123,3,0.0,0.006449,0.015365
anti_PD1_early,rules,123,4,0.0,0.008058,0.01969
anti_PD1_early,rules,123,5,0.0,0.005417,0.023668
anti_PD1_early,rules,123,6,0.0,0.004165,0.027779
anti_PD1_early,rules,123,7,0.0,0.003498,0.034336
anti_PD1_early,rules,123,8,0.0,0.003115,0.043893
anti_PD1_early,rules,123,9,0.0,0.002823,0.05786
anti_PD1_early,rules,123,10,0.0,0.002586,0.074911
anti_PD1_early,rules,123,11,0.0,0.002356,0.093222
anti_PD1_early,rules,123,12,0.0,0.0021,0.112468
anti_PD1_early,rules,123,13,0.0,0.001822,0.130925
anti_PD1_early,rules,123,14,0.0,0.001533,0.14858
anti_PD1_early,rules,123,15,0.0021,0.001256,0.164447
anti_PD1_early,rules,123,16,0.004478,0.000986,0.179196
anti_PD1_early,rules,123,17,0.004232,0.000753,0.193514
anti_PD1_early,rules,123,18,0.003999,0.000538,0.206687
anti_PD1_early,rules,123,19,0.004567,0.000359,0.218356
anti_PD1_early,rules,123,20,0.007334,0.000219,0.228267
anti_PD1_early,rules,123,21,0.011525,0.000118,0.236484
anti_PD1_early,rules,123,22,0.013778,5.6e-05,0.243445
anti_PD1_early,rules,123,23,0.015252,2.6e-05,0.249323
anti_PD1_early,rules,123,24,0.016644,1.2e-05,0.253681
anti_PD1_early,rules,123,25,0.019535,5e-06,0.255891
anti_PD1_early,rules,123,26,0.018986,3e-06,0.256499
anti_PD1_early,rules,123,27,0.01991,1e-06,0.255408
anti_PD1_early,rules,123,28,0.020259,1e-06,0.254179
anti_PD1_early,rules,123,29,0.020457,0.0,0.251924
anti_PD1_early,rules,123,30,0.023217,0.0,0.248749
anti_PD1_early,rules,42,1,0.0,0.002473,0.005668
anti_PD1_early,rules,42,2,0.0,0.004598,0.010882
anti_PD1_early,rules,42,3,0.0,0.006465,0.015679
anti_PD1_early,rules,42,4,0.0,0.008068,0.020093
anti_PD1_early,rules,42,5,0.0,0.005491,0.024153
anti_PD1_early,rules,42,6,0.0,0.004224,0.027889
anti_PD1_early,rules,42,7,0.0,0.003541,0.032675
anti_PD1_early,rules,42,8,0.0,0.003124,0.042254
anti_PD1_early,rules,42,9,0.0,0.002831,0.056391
anti_PD1_early,rules,42,10,0.0,0.002573,0.073448
anti_PD1_early,rules,42,11,0.0,0.002309,0.091915
anti_PD1_early,rules,42,12,0.0,0.002036,0.110629
anti_PD1_early,rules,42,13,0.0,0.001766,0.129422
anti_PD1_early,rules,42,14,0.00105,0.001474,0.147236
anti_PD1_early,rules,42,15,0.000992,0.001214,0.1646
anti_PD1_early,rules,42,16,0.002906,0.00095,0.180874
anti_PD1_early,rules,42,17,0.004715,0.000714,0.196072
anti_PD1_early,rules,42,18,0.009706,0.000508,0.209304
anti_PD1_early,rules,42,19,0.00996,0.000338,0.221103
anti_PD1_early,rules,42,20,0.011249,0.000203,0.231357
anti_PD1_early,rules,42,21,0.013256,0.000108,0.239666
anti_PD1_early,rules,42,22,0.015808,5.1e-05,0.246786
anti_PD1_early,rules,42,23,0.017563,2.3e-05,0.253186
anti_PD1_early,rules,42,24,0.020141,1.1e-05,0.258249
anti_PD1_early,rules,42,25,0.021002,5e-06,0.262531
anti_PD1_early,rules,42,26,0.021553,2e-06,0.264522
anti_PD1_early,rules,42,27,0.020368,1e-06,0.265003
anti_PD1_early,rules,42,28,0.020954,0.0,0.264845
anti_PD1_early,rules,42,29,0.019801,0.0,0.263425
anti_PD1_early,rules,42,30,0.018712,0.0,0.260694
anti_PD1_early,rules,456,1,0.0,0.002447,0.005496
anti_PD1_early,rules,456,2,0.0,0.004528,0.010553
anti_PD1_early,rules,456,3,0.0,0.006307,0.015205
anti_PD1_early,rules,456,4,0.0,0.007834,0.019485
anti_PD1_early,rules,456,5,0.0,0.005305,0.023423
anti_PD1_early,rules,456,6,0.0,0.004064,0.02757
anti_PD1_early,rules,456,7,0.0,0.003406,0.032736
anti_PD1_early,rules,456,8,0.0,0.003041,0.041763
anti_PD1_early,rules,456,9,0.0,0.002742,0.055694
anti_PD1_early,rules,456,10,0.0,0.002524,0.07286
anti_PD1_early,rules,456,11,0.0,0.002266,0.092327
anti_PD1_early,rules,456,12,0.0,0.001993,0.111437
anti_PD1_early,rules,456,13,0.0,0.001702,0.129769
anti_PD1_early,rules,456,14,0.0,0.001443,0.147909
anti_PD1_early,rules,456,15,0.001706,0.001171,0.165797
anti_PD1_early,rules,456,16,0.004369,0.000904,0.181955
anti_PD1_early,rules,456,17,0.00531,0.000664,0.19667
anti_PD1_early,rules,456,18,0.009349,0.000457,0.209758
