group,pair,mode,seed,step,tumor_count,alive,cd8_pct
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,25,222,511,0.2348
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,26,221,510,0.2353
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,27,214,502,0.239
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,28,199,487,0.2464
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,29,196,483,0.2484
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,123,30,172,459,0.2614
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,1,212,512,0.2344
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,2,224,524,0.229
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,3,233,533,0.2251
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,4,248,548,0.219
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,5,250,550,0.2182
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,6,257,557,0.2154
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,7,268,568,0.2113
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,8,281,581,0.2065
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,9,292,592,0.2027
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,10,270,570,0.2105
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,11,279,579,0.2073
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,12,290,590,0.2034
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,13,297,596,0.2013
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,14,310,609,0.197
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,15,272,571,0.2102
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,16,276,575,0.2087
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,17,280,578,0.2076
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,18,278,574,0.2091
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,19,271,566,0.212
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,20,242,537,0.2235
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,21,258,553,0.217
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,22,263,555,0.2162
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,23,255,547,0.2194
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,24,254,546,0.2198
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,25,219,511,0.2348
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,26,214,506,0.2372
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,27,207,499,0.2405
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,28,187,479,0.2505
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,29,175,468,0.2585
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,42,30,153,446,0.2713
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,1,210,510,0.2353
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,2,219,519,0.2312
