experiment,condition,mode,seed,step,phase_G0,phase_G1,phase_S,phase_G2,phase_M
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,5,0.6014,0.1884,0.1069,0.0851,0.0181
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,6,0.5925,0.2046,0.1085,0.073,0.0214
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,7,0.5871,0.2178,0.1132,0.0662,0.0157
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,8,0.5626,0.2367,0.1218,0.0549,0.024
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,9,0.5796,0.2127,0.1273,0.0603,0.0201
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,10,0.5681,0.2233,0.1297,0.069,0.0099
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,11,0.5505,0.2248,0.1384,0.0765,0.0098
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,12,0.5541,0.2036,0.1535,0.0759,0.0129
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,13,0.5579,0.1849,0.1656,0.0659,0.0257
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,14,0.581,0.1635,0.1683,0.0683,0.019
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,15,0.5617,0.1646,0.1741,0.0823,0.0174
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,16,0.5536,0.1814,0.1609,0.0915,0.0126
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,17,0.5564,0.1606,0.1685,0.0986,0.0159
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,18,0.5746,0.1397,0.1683,0.0952,0.0222
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,19,0.5978,0.1383,0.1494,0.0859,0.0286
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,20,0.6323,0.1363,0.1379,0.0713,0.0222
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,21,0.6619,0.1244,0.1116,0.0829,0.0191
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,22,0.6909,0.0843,0.1388,0.0777,0.0083
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,23,0.7057,0.0516,0.1377,0.0929,0.012
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,24,0.7319,0.0362,0.1196,0.0978,0.0145
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,25,0.7538,0.0288,0.1135,0.0769,0.0269
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,26,0.8058,0.0186,0.1012,0.0661,0.0083
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,27,0.8264,0.0044,0.1099,0.0352,0.0242
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,28,0.8615,0.0047,0.0704,0.0493,0.0141
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,29,0.8834,0.0025,0.0447,0.0596,0.0099
treatment_anti_TGFb_late,anti_TGFb_late,rules,123,30,0.9143,0.0026,0.026,0.0519,0.0052
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,1,0.6328,0.1387,0.127,0.0781,0.0234
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,2,0.6279,0.1546,0.1183,0.0821,0.0172
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,3,0.6041,0.1689,0.122,0.0769,0.0281
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,4,0.6058,0.1861,0.1131,0.0785,0.0164
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,5,0.5817,0.2136,0.1131,0.079,0.0126
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,6,0.5762,0.2163,0.1135,0.0727,0.0213
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,7,0.5729,0.2257,0.1094,0.0694,0.0226
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,8,0.562,0.2496,0.1053,0.0645,0.0187
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,9,0.56,0.2417,0.1083,0.0767,0.0133
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,10,0.5378,0.2385,0.1349,0.074,0.0148
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,11,0.5429,0.2188,0.1507,0.0681,0.0194
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,12,0.5494,0.1943,0.1736,0.0685,0.0143
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,13,0.5394,0.2003,0.1751,0.0599,0.0252
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,14,0.5604,0.1827,0.1858,0.0588,0.0124
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,15,0.5581,0.1674,0.1876,0.0729,0.014
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,16,0.5593,0.1572,0.1757,0.0924,0.0154
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,17,0.5609,0.1402,0.1757,0.1063,0.0169
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,18,0.5664,0.1435,0.1528,0.125,0.0123
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,19,0.5639,0.1449,0.1511,0.1137,0.0265
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,20,0.5874,0.1323,0.1449,0.1039,0.0315
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,21,0.6404,0.1188,0.1188,0.0979,0.0241
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,22,0.6748,0.0959,0.1171,0.0813,0.0309
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,23,0.7126,0.0797,0.1047,0.088,0.015
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,24,0.7318,0.0588,0.1159,0.0779,0.0156
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,25,0.7541,0.0398,0.1193,0.0633,0.0235
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,26,0.7907,0.0174,0.1124,0.0659,0.0136
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,27,0.8029,0,0.1224,0.0539,0.0207
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,28,0.8297,0,0.0983,0.0633,0.0087
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,29,0.8534,0,0.0757,0.052,0.0189
treatment_anti_TGFb_late,anti_TGFb_late,rules,42,30,0.8759,0,0.0535,0.0633,0.0073
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,1,0.6275,0.1431,0.1275,0.0843,0.0176
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,2,0.6166,0.1407,0.1252,0.0983,0.0193
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,3,0.6181,0.1474,0.1267,0.0832,0.0246
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,4,0.6089,0.1753,0.1015,0.0959,0.0185
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,5,0.5906,0.2065,0.0978,0.087,0.0181
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,6,0.5765,0.226,0.1014,0.0641,0.032
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,7,0.5879,0.2293,0.1017,0.0707,0.0103
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,8,0.5495,0.256,0.0939,0.07,0.0307
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,9,0.5662,0.245,0.1076,0.0712,0.0099
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,10,0.5426,0.259,0.118,0.0705,0.0098
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,11,0.5325,0.2435,0.1461,0.0601,0.0179
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,12,0.5408,0.2192,0.1664,0.0448,0.0288
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,13,0.5516,0.2109,0.1734,0.0516,0.0125
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,14,0.5326,0.2189,0.1755,0.0637,0.0093
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,15,0.5304,0.1872,0.1919,0.0827,0.0078
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,16,0.5329,0.174,0.1928,0.0862,0.0141
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,17,0.5507,0.142,0.1919,0.0952,0.0203
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,18,0.5712,0.1269,0.1718,0.1084,0.0217
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,19,0.5903,0.1319,0.157,0.1005,0.0204
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,20,0.6063,0.1134,0.1559,0.1102,0.0142
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,21,0.6341,0.0764,0.1545,0.1122,0.0228
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,22,0.6717,0.062,0.1474,0.0871,0.0318
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,23,0.7168,0.0535,0.1192,0.0898,0.0207
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,24,0.7477,0.0523,0.1135,0.0703,0.0162
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,25,0.7668,0.0429,0.1082,0.0578,0.0243
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,26,0.8051,0.0195,0.0975,0.0643,0.0136
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,27,0.8288,0.0042,0.0793,0.0668,0.0209
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,28,0.8526,0.0043,0.0684,0.0662,0.0085
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,29,0.8679,0.0046,0.0524,0.0706,0.0046
treatment_anti_TGFb_late,anti_TGFb_late,rules,456,30,0.8842,0.0025,0.0419,0.0517,0.0197
perturbation_TP53_KO,TP53_KO,deepseek,123,1,0.6301,0.1546,0.1155,0.0861,0.0137
perturbation_TP53_KO,TP53_KO,deepseek,123,2,0.6081,0.1776,0.1062,0.083,0.0251
perturbation_TP53_KO,TP53_KO,deepseek,123,3,0.6139,0.1714,0.1168,0.0847,0.0132
perturbation_TP53_KO,TP53_KO,deepseek,123,4,0.6004,0.1784,0.1115,0.0836,0.026
perturbation_TP53_KO,TP53_KO,deepseek,123,5,0.6349,0.156,0.1064,0.0844,0.0183
perturbation_TP53_KO,TP53_KO,deepseek,123,6,0.5982,0.2,0.1081,0.0739,0.0198
perturbation_TP53_KO,TP53_KO,deepseek,123,7,0.5866,0.2173,0.1131,0.0671,0.0159
perturbation_TP53_KO,TP53_KO,deepseek,123,8,0.5704,0.2278,0.1217,0.0557,0.0243
perturbation_TP53_KO,TP53_KO,deepseek,123,9,0.5874,0.2071,0.1239,0.0611,0.0204
perturbation_TP53_KO,TP53_KO,deepseek,123,10,0.6293,0.1707,0.1293,0.0638,0.0069
perturbation_TP53_KO,TP53_KO,deepseek,123,11,0.5634,0.2175,0.137,0.0753,0.0068
perturbation_TP53_KO,TP53_KO,deepseek,123,12,0.5697,0.2143,0.1293,0.0731,0.0136
perturbation_TP53_KO,TP53_KO,deepseek,123,13,0.5787,0.1743,0.1574,0.0643,0.0254
perturbation_TP53_KO,TP53_KO,deepseek,123,14,0.5943,0.1569,0.1619,0.0701,0.0167
perturbation_TP53_KO,TP53_KO,deepseek,123,15,0.625,0.1199,0.1571,0.0794,0.0186
perturbation_TP53_KO,TP53_KO,deepseek,123,16,0.5803,0.1722,0.1455,0.0903,0.0117
perturbation_TP53_KO,TP53_KO,deepseek,123,17,0.5755,0.193,0.1174,0.099,0.0151
perturbation_TP53_KO,TP53_KO,deepseek,123,18,0.5726,0.1452,0.1803,0.0785,0.0234
perturbation_TP53_KO,TP53_KO,deepseek,123,19,0.5868,0.1603,0.1421,0.0826,0.0281
perturbation_TP53_KO,TP53_KO,deepseek,123,20,0.6338,0.1438,0.1204,0.0853,0.0167
perturbation_TP53_KO,TP53_KO,deepseek,123,21,0.6231,0.162,0.1058,0.0843,0.0248
perturbation_TP53_KO,TP53_KO,deepseek,123,22,0.653,0.1653,0.0867,0.0933,0.0016
perturbation_TP53_KO,TP53_KO,deepseek,123,23,0.6561,0.1018,0.1553,0.0584,0.0284
perturbation_TP53_KO,TP53_KO,deepseek,123,24,0.6883,0.0817,0.115,0.0967,0.0183
perturbation_TP53_KO,TP53_KO,deepseek,123,25,0.7238,0.0583,0.1269,0.0669,0.024
perturbation_TP53_KO,TP53_KO,deepseek,123,26,0.7444,0.0446,0.1355,0.0652,0.0103
perturbation_TP53_KO,TP53_KO,deepseek,123,27,0.7487,0.058,0.1195,0.0721,0.0018
perturbation_TP53_KO,TP53_KO,deepseek,123,28,0.7472,0.0258,0.1568,0.0166,0.0535
perturbation_TP53_KO,TP53_KO,deepseek,123,29,0.8104,0.0223,0.0874,0.0781,0.0019
perturbation_TP53_KO,TP53_KO,deepseek,123,30,0.8261,0.0198,0.0791,0.0711,0.004
perturbation_TP53_KO,TP53_KO,deepseek,42,1,0.6328,0.1387,0.127,0.0781,0.0234
perturbation_TP53_KO,TP53_KO,deepseek,42,2,0.6279,0.1546,0.1183,0.0821,0.0172
perturbation_TP53_KO,TP53_KO,deepseek,42,3,0.6041,0.1689,0.122,0.0769,0.0281
perturbation_TP53_KO,TP53_KO,deepseek,42,4,0.6058,0.1861,0.1131,0.0785,0.0164
perturbation_TP53_KO,TP53_KO,deepseek,42,5,0.6284,0.1712,0.1129,0.0747,0.0128
perturbation_TP53_KO,TP53_KO,deepseek,42,6,0.5737,0.223,0.1133,0.0719,0.018
perturbation_TP53_KO,TP53_KO,deepseek,42,7,0.5654,0.235,0.1078,0.0707,0.0212
perturbation_TP53_KO,TP53_KO,deepseek,42,8,0.5571,0.2543,0.1038,0.0657,0.019
perturbation_TP53_KO,TP53_KO,deepseek,42,9,0.5552,0.2462,0.1087,0.0764,0.0136
perturbation_TP53_KO,TP53_KO,deepseek,42,10,0.592,0.1979,0.125,0.0694,0.0156
perturbation_TP53_KO,TP53_KO,deepseek,42,11,0.5573,0.2205,0.1402,0.065,0.0171
perturbation_TP53_KO,TP53_KO,deepseek,42,12,0.563,0.2303,0.1261,0.0655,0.0151
perturbation_TP53_KO,TP53_KO,deepseek,42,13,0.5565,0.1944,0.1694,0.0565,0.0233
perturbation_TP53_KO,TP53_KO,deepseek,42,14,0.5747,0.1769,0.1802,0.0568,0.0114
perturbation_TP53_KO,TP53_KO,deepseek,42,15,0.603,0.1412,0.1811,0.0615,0.0133
perturbation_TP53_KO,TP53_KO,deepseek,42,16,0.5783,0.1565,0.1713,0.0807,0.0132
perturbation_TP53_KO,TP53_KO,deepseek,42,17,0.5742,0.1746,0.1436,0.0962,0.0114
perturbation_TP53_KO,TP53_KO,deepseek,42,18,0.5672,0.1426,0.1885,0.0885,0.0131
perturbation_TP53_KO,TP53_KO,deepseek,42,19,0.5618,0.145,0.1516,0.1203,0.0214
perturbation_TP53_KO,TP53_KO,deepseek,42,20,0.5923,0.1165,0.1498,0.1065,0.0349
perturbation_TP53_KO,TP53_KO,deepseek,42,21,0.6258,0.1161,0.1258,0.1065,0.0258
perturbation_TP53_KO,TP53_KO,deepseek,42,22,0.6634,0.1159,0.0966,0.1192,0.0048
perturbation_TP53_KO,TP53_KO,deepseek,42,23,0.665,0.0817,0.1373,0.0686,0.0474
perturbation_TP53_KO,TP53_KO,deepseek,42,24,0.7246,0.0612,0.1095,0.0902,0.0145
perturbation_TP53_KO,TP53_KO,deepseek,42,25,0.7525,0.0413,0.1089,0.0693,0.0281
perturbation_TP53_KO,TP53_KO,deepseek,42,26,0.7602,0.0489,0.0995,0.0734,0.0179
perturbation_TP53_KO,TP53_KO,deepseek,42,27,0.7785,0.0587,0.0856,0.0772,0
perturbation_TP53_KO,TP53_KO,deepseek,42,28,0.7674,0.0519,0.1002,0.0447,0.0358
perturbation_TP53_KO,TP53_KO,deepseek,42,29,0.8047,0.0524,0.0651,0.0723,0.0054
perturbation_TP53_KO,TP53_KO,deepseek,42,30,0.807,0.0468,0.0526,0.0682,0.0253
perturbation_TP53_KO,TP53_KO,deepseek,456,1,0.6275,0.1431,0.1275,0.0843,0.0176
perturbation_TP53_KO,TP53_KO,deepseek,456,2,0.6166,0.1407,0.1252,0.0983,0.0193
perturbation_TP53_KO,TP53_KO,deepseek,456,3,0.6181,0.1474,0.1267,0.0832,0.0246
perturbation_TP53_KO,TP53_KO,deepseek,456,4,0.6089,0.1753,0.1015,0.0959,0.0185
perturbation_TP53_KO,TP53_KO,deepseek,456,5,0.6322,0.1682,0.0961,0.085,0.0185
perturbation_TP53_KO,TP53_KO,deepseek,456,6,0.6007,0.2051,0.0998,0.0617,0.0327
perturbation_TP53_KO,TP53_KO,deepseek,456,7,0.6011,0.2197,0.1002,0.0703,0.0088
perturbation_TP53_KO,TP53_KO,deepseek,456,8,0.5557,0.2509,0.0958,0.0679,0.0296
perturbation_TP53_KO,TP53_KO,deepseek,456,9,0.5719,0.2386,0.11,0.0694,0.0102
perturbation_TP53_KO,TP53_KO,deepseek,456,10,0.5962,0.2131,0.1168,0.0636,0.0103
perturbation_TP53_KO,TP53_KO,deepseek,456,11,0.5544,0.2296,0.1446,0.0544,0.017
perturbation_TP53_KO,TP53_KO,deepseek,456,12,0.5595,0.2379,0.134,0.0452,0.0235
perturbation_TP53_KO,TP53_KO,deepseek,456,13,0.5623,0.2197,0.1541,0.0508,0.0131
perturbation_TP53_KO,TP53_KO,deepseek,456,14,0.5487,0.2078,0.1721,0.0633,0.0081
perturbation_TP53_KO,TP53_KO,deepseek,456,15,0.5728,0.154,0.1838,0.0811,0.0083
perturbation_TP53_KO,TP53_KO,deepseek,456,16,0.548,0.1705,0.1838,0.0828,0.0149
perturbation_TP53_KO,TP53_KO,deepseek,456,17,0.5543,0.1809,0.1513,0.0938,0.0197
perturbation_TP53_KO,TP53_KO,deepseek,456,18,0.5693,0.1387,0.1925,0.0799,0.0196
perturbation_TP53_KO,TP53_KO,deepseek,456,19,0.5705,0.1491,0.1686,0.0891,0.0227
perturbation_TP53_KO,TP53_KO,deepseek,456,20,0.6165,0.1207,0.1554,0.0909,0.0165
perturbation_TP53_KO,TP53_KO,deepseek,456,21,0.613,0.1171,0.1382,0.1089,0.0228
perturbation_TP53_KO,TP53_KO,deepseek,456,22,0.6411,0.118,0.1148,0.1196,0.0064
perturbation_TP53_KO,TP53_KO,deepseek,456,23,0.6418,0.0859,0.1524,0.0891,0.0308
perturbation_TP53_KO,TP53_KO,deepseek,456,24,0.6861,0.0712,0.1117,0.1019,0.0291
perturbation_TP53_KO,TP53_KO,deepseek,456,25,0.7237,0.0559,0.1135,0.0674,0.0395
perturbation_TP53_KO,TP53_KO,deepseek,456,26,0.7508,0.0514,0.1077,0.0756,0.0145
perturbation_TP53_KO,TP53_KO,deepseek,456,27,0.7626,0.0553,0.078,0.1008,0.0033
perturbation_TP53_KO,TP53_KO,deepseek,456,28,0.7619,0.0357,0.1037,0.0595,0.0391
perturbation_TP53_KO,TP53_KO,deepseek,456,29,0.7993,0.0363,0.0709,0.0848,0.0087
perturbation_TP53_KO,TP53_KO,deepseek,456,30,0.8135,0.0329,0.0658,0.064,0.0238
perturbation_TP53_KO,TP53_KO,rules,123,1,0.6301,0.1546,0.1155,0.0861,0.0137
perturbation_TP53_KO,TP53_KO,rules,123,2,0.6081,0.1776,0.1062,0.083,0.0251
perturbation_TP53_KO,TP53_KO,rules,123,3,0.6139,0.1714,0.1168,0.0847,0.0132
perturbation_TP53_KO,TP53_KO,rules,123,4,0.6004,0.1784,0.1115,0.0836,0.026
perturbation_TP53_KO,TP53_KO,rules,123,5,0.6014,0.1884,0.1069,0.0851,0.0181
perturbation_TP53_KO,TP53_KO,rules,123,6,0.5925,0.2046,0.1085,0.073,0.0214
perturbation_TP53_KO,TP53_KO,rules,123,7,0.5871,0.2178,0.1132,0.0662,0.0157
perturbation_TP53_KO,TP53_KO,rules,123,8,0.5626,0.2367,0.1218,0.0549,0.024
perturbation_TP53_KO,TP53_KO,rules,123,9,0.5796,0.2127,0.1273,0.0603,0.0201
perturbation_TP53_KO,TP53_KO,rules,123,10,0.5681,0.2233,0.1297,0.069,0.0099
perturbation_TP53_KO,TP53_KO,rules,123,11,0.5505,0.2248,0.1384,0.0765,0.0098
perturbation_TP53_KO,TP53_KO,rules,123,12,0.5541,0.2036,0.1535,0.0759,0.0129
perturbation_TP53_KO,TP53_KO,rules,123,13,0.5579,0.1849,0.1656,0.0659,0.0257
perturbation_TP53_KO,TP53_KO,rules,123,14,0.581,0.1635,0.1683,0.0683,0.019
perturbation_TP53_KO,TP53_KO,rules,123,15,0.5617,0.1646,0.1741,0.0823,0.0174
perturbation_TP53_KO,TP53_KO,rules,123,16,0.5552,0.1798,0.1609,0.0915,0.0126
perturbation_TP53_KO,TP53_KO,rules,123,17,0.5533,0.1638,0.1685,0.0986,0.0159
perturbation_TP53_KO,TP53_KO,rules,123,18,0.5651,0.1492,0.1683,0.0952,0.0222
perturbation_TP53_KO,TP53_KO,rules,123,19,0.5771,0.1574,0.1479,0.0874,0.0302
perturbation_TP53_KO,TP53_KO,rules,123,20,0.5965,0.1725,0.1345,0.0744,0.0222
perturbation_TP53_KO,TP53_KO,rules,123,21,0.6258,0.1608,0.1083,0.0844,0.0207
perturbation_TP53_KO,TP53_KO,rules,123,22,0.6579,0.1201,0.1365,0.0773,0.0082
perturbation_TP53_KO,TP53_KO,rules,123,23,0.6661,0.0915,0.1305,0.0983,0.0136
perturbation_TP53_KO,TP53_KO,rules,123,24,0.6824,0.0733,0.1239,0.1047,0.0157
perturbation_TP53_KO,TP53_KO,rules,123,25,0.692,0.0634,0.1304,0.0797,0.0344
perturbation_TP53_KO,TP53_KO,rules,123,26,0.7336,0.0432,0.1388,0.0713,0.0131
perturbation_TP53_KO,TP53_KO,rules,123,27,0.7505,0.0097,0.1663,0.0445,0.029
perturbation_TP53_KO,TP53_KO,rules,123,28,0.7937,0.0098,0.1159,0.0609,0.0196
perturbation_TP53_KO,TP53_KO,rules,123,29,0.813,0.0102,0.0813,0.0874,0.0081
perturbation_TP53_KO,TP53_KO,rules,123,30,0.8245,0.0085,0.0634,0.0951,0.0085
perturbation_TP53_KO,TP53_KO,rules,42,1,0.6328,0.1387,0.127,0.0781,0.0234
perturbation_TP53_KO,TP53_KO,rules,42,2,0.6279,0.1546,0.1183,0.0821,0.0172
perturbation_TP53_KO,TP53_KO,rules,42,3,0.6041,0.1689,0.122,0.0769,0.0281
perturbation_TP53_KO,TP53_KO,rules,42,4,0.6058,0.1861,0.1131,0.0785,0.0164
perturbation_TP53_KO,TP53_KO,rules,42,5,0.5817,0.2136,0.1131,0.079,0.0126
perturbation_TP53_KO,TP53_KO,rules,42,6,0.5762,0.2163,0.1135,0.0727,0.0213
perturbation_TP53_KO,TP53_KO,rules,42,7,0.5729,0.2257,0.1094,0.0694,0.0226
perturbation_TP53_KO,TP53_KO,rules,42,8,0.562,0.2496,0.1053,0.0645,0.0187
perturbation_TP53_KO,TP53_KO,rules,42,9,0.56,0.2417,0.1083,0.0767,0.0133
perturbation_TP53_KO,TP53_KO,rules,42,10,0.5378,0.2385,0.1349,0.074,0.0148
perturbation_TP53_KO,TP53_KO,rules,42,11,0.5429,0.2188,0.1507,0.0681,0.0194
perturbation_TP53_KO,TP53_KO,rules,42,12,0.5494,0.1943,0.1736,0.0685,0.0143
perturbation_TP53_KO,TP53_KO,rules,42,13,0.5394,0.2003,0.1751,0.0599,0.0252
perturbation_TP53_KO,TP53_KO,rules,42,14,0.5604,0.1827,0.1858,0.0588,0.0124
perturbation_TP53_KO,TP53_KO,rules,42,15,0.555,0.1705,0.1876,0.0729,0.014
perturbation_TP53_KO,TP53_KO,rules,42,16,0.5516,0.1649,0.1757,0.0924,0.0154
perturbation_TP53_KO,TP53_KO,rules,42,17,0.5537,0.1472,0.1764,0.1058,0.0169
perturbation_TP53_KO,TP53_KO,rules,42,18,0.5562,0.1525,0.1541,0.1248,0.0123
perturbation_TP53_KO,TP53_KO,rules,42,19,0.5505,0.1586,0.1524,0.1135,0.0249
perturbation_TP53_KO,TP53_KO,rules,42,20,0.5687,0.1485,0.1469,0.1043,0.0316
perturbation_TP53_KO,TP53_KO,rules,42,21,0.6198,0.1342,0.123,0.099,0.024
perturbation_TP53_KO,TP53_KO,rules,42,22,0.6559,0.1077,0.1238,0.082,0.0305
perturbation_TP53_KO,TP53_KO,rules,42,23,0.6919,0.0871,0.1145,0.0919,0.0145
perturbation_TP53_KO,TP53_KO,rules,42,24,0.7076,0.0698,0.1229,0.0831,0.0166
perturbation_TP53_KO,TP53_KO,rules,42,25,0.7253,0.0512,0.128,0.07,0.0256
perturbation_TP53_KO,TP53_KO,rules,42,26,0.7491,0.03,0.1343,0.0689,0.0177
perturbation_TP53_KO,TP53_KO,rules,42,27,0.757,0.013,0.141,0.0557,0.0334
perturbation_TP53_KO,TP53_KO,rules,42,28,0.7914,0.0132,0.1147,0.0733,0.0075
perturbation_TP53_KO,TP53_KO,rules,42,29,0.7924,0.022,0.0978,0.0758,0.012
perturbation_TP53_KO,TP53_KO,rules,42,30,0.8058,0.0207,0.0702,0.0888,0.0145
perturbation_TP53_KO,TP53_KO,rules,456,1,0.6275,0.1431,0.1275,0.0843,0.0176
perturbation_TP53_KO,TP53_KO,rules,456,2,0.6166,0.1407,0.1252,0.0983,0.0193
perturbation_TP53_KO,TP53_KO,rules,456,3,0.6181,0.1474,0.1267,0.0832,0.0246
perturbation_TP53_KO,TP53_KO,rules,456,4,0.6089,0.1753,0.1015,0.0959,0.0185
perturbation_TP53_KO,TP53_KO,rules,456,5,0.5906,0.2065,0.0978,0.087,0.0181
perturbation_TP53_KO,TP53_KO,rules,456,6,0.5765,0.226,0.1014,0.0641,0.032
perturbation_TP53_KO,TP53_KO,rules,456,7,0.5879,0.2293,0.1017,0.0707,0.0103
perturbation_TP53_KO,TP53_KO,rules,456,8,0.5495,0.256,0.0939,0.07,0.0307
perturbation_TP53_KO,TP53_KO,rules,456,9,0.5662,0.245,0.1076,0.0712,0.0099
perturbation_TP53_KO,TP53_KO,rules,456,10,0.5426,0.259,0.118,0.0705,0.0098
perturbation_TP53_KO,TP53_KO,rules,456,11,0.5325,0.2435,0.1461,0.0601,0.0179
perturbation_TP53_KO,TP53_KO,rules,456,12,0.5408,0.2192,0.1664,0.0448,0.0288
perturbation_TP53_KO,TP53_KO,rules,456,13,0.5516,0.2109,0.1734,0.0516,0.0125
perturbation_TP53_KO,TP53_KO,rules,456,14,0.5326,0.2189,0.1755,0.0637,0.0093
perturbation_TP53_KO,TP53_KO,rules,456,15,0.5273,0.1903,0.1919,0.0827,0.0078
perturbation_TP53_KO,TP53_KO,rules,456,16,0.5313,0.1755,0.1928,0.0862,0.0141
perturbation_TP53_KO,TP53_KO,rules,456,17,0.546,0.1466,0.1919,0.0952,0.0203
perturbation_TP53_KO,TP53_KO,rules,456,18,0.5628,0.1364,0.1705,0.1085,0.0217
perturbation_TP53_KO,TP53_KO,rules,456,19,0.5681,0.1549,0.1549,0.1017,0.0203
perturbation_TP53_KO,TP53_KO,rules,456,20,0.5699,0.1507,0.1554,0.1099,0.0141
perturbation_TP53_KO,TP53_KO,rules,456,21,0.5946,0.1138,0.1522,0.1154,0.024
perturbation_TP53_KO,TP53_KO,rules,456,22,0.6266,0.0987,0.1513,0.0888,0.0345
perturbation_TP53_KO,TP53_KO,rules,456,23,0.6749,0.0887,0.1232,0.0936,0.0197
perturbation_TP53_KO,TP53_KO,rules,456,24,0.7007,0.0819,0.1154,0.0803,0.0217
perturbation_TP53_KO,TP53_KO,rules,456,25,0.7237,0.0725,0.114,0.0639,0.0259
perturbation_TP53_KO,TP53_KO,rules,456,26,0.7518,0.0355,0.1188,0.0816,0.0124
perturbation_TP53_KO,TP53_KO,rules,456,27,0.763,0.0056,0.1185,0.0833,0.0296
perturbation_TP53_KO,TP53_KO,rules,456,28,0.8011,0.0057,0.1023,0.0833,0.0076
